index_finger_pos,thumb_tip_pos,middle_finger_pos,ring_finger_pos,pinky_finger_pos,gesture
290.2089479096173,255.92761291381345,307.29037128176594,320.1458306411044,339.29468434285184,right
290.56983023670034,256.14982241645066,306.91146799492617,320.89485690908316,340.15838500480936,right
290.0499090042307,256.35805850042834,306.20524317181787,320.510453936884,340.3421135283683,right
290.25970026057576,256.1726637953581,307.0388889477097,321.16582209362156,341.12338125550787,right
290.6509886178213,255.89159601982357,307.4922004590934,320.95826420081266,340.7455276771983,right
290.6907224135176,255.71101915743563,307.99091701595194,320.7277968012296,340.96767780860233,right
290.6017059186035,256.1057701396492,307.3736880057203,321.37149740065115,341.3846061628384,right
290.4275091382343,256.18700845805967,307.15865075440144,321.2286758075397,341.40971426835125,right
290.2014522145985,256.54218093428085,307.1074080953263,320.42398737694896,340.2554751498164,right
290.23744769873804,256.98396851286566,307.57555736191733,320.6417442022732,340.1584865955389,right
290.1614675881136,255.80200893334364,307.3877674511409,319.8946500088401,339.86502794144076,right
290.80042098250726,255.8965224915018,307.45337020705347,320.6778198703898,340.8245207229522,right
290.6622833982632,256.86637501693156,306.98644237080714,320.455314133873,340.83923842574944,right
290.1508202999455,256.21007775421424,307.0701747644596,320.7562052649636,340.09754029968497,right
290.55472804344515,256.1278401386007,307.2653690844659,320.17827688491275,339.50949519830505,right
290.63296488947987,256.44635447291364,306.74655092395744,320.65247612240614,339.94814272902755,right
290.4664195140692,256.4610654053088,307.01062283023964,320.6665347805256,339.96315962246456,right
290.1302240995301,255.22118280344404,306.13229494679223,320.2816040603136,340.64190918404717,right
289.765332627444,255.7708522004932,306.8225729442295,320.4407658768124,340.23058341049756,right
290.14034488230334,256.07015207290175,306.8529760562956,320.4807799656018,340.4355218855622,right
290.0253800334898,255.91657935111965,307.3125961845469,320.3093416387638,340.1244036794291,right
209.95789106194988,178.748446594794,209.6131054631065,211.0989769803397,216.71017747661926,stop
208.6927884739297,175.96396209121775,208.5160212628507,209.8826696589626,214.16902673407654,stop
206.20283207730142,173.30524005368628,205.55493777323878,207.65966688967526,210.57863360088288,stop
206.1649439479427,173.79733021924264,205.81625198147037,208.4530657195363,211.49185813561482,stop
205.2338432417937,173.58211749605738,204.7874936091225,206.3898505248949,209.2112605783034,stop
204.60552504628936,172.42144373823035,204.04912528142248,205.95340227666517,208.09279711608886,stop
204.886814396101,172.78712991137476,204.49333996541347,206.61215121553957,208.60235464855413,stop
204.4851812807942,171.55195839670623,203.9357122362423,205.70397250775585,207.66322438759133,stop
204.6095891995813,172.1848982166226,204.03656677992524,205.92471165508172,207.90941494640143,stop
202.74762842443315,166.850094319596,202.67919374799504,204.1511473420612,206.04663203334704,stop
203.59005662083564,169.39508017306332,204.01243863876962,206.22172949084583,209.4156794098265,stop
203.62057045722293,168.74660255054076,203.67956506833718,205.74925843045347,209.0554414515536,stop
204.07490448711826,169.30362188183577,203.94553100977515,206.34510241045626,209.8175754089421,stop
204.10946407267068,168.42654425775157,204.24009320394177,206.35211399375387,209.7725696316284,stop
203.57606664722042,167.7794169522647,203.5838382435991,206.38470021714883,210.2571992545868,stop
204.09870803856703,168.32066856799776,204.44525347036523,206.88191059061973,210.5856397046383,stop
201.18063897661025,166.5365625820055,201.28265478964346,204.03470822307395,207.85776374383354,stop
199.75198358291763,165.2249765621187,200.01754262863707,203.38928594737143,207.19027869731562,stop
199.4236140342713,165.6838010187863,199.86206336838782,203.15196230439128,206.9739467804,stop
199.33272934135005,165.669481928889,199.9410410169464,203.1417991850083,206.92969916654764,stop
199.19403861039595,165.14849966014887,199.7202952485635,203.21876926564494,207.03299256824351,stop
198.02669157129247,165.96896511966227,198.56954817357828,201.7931062381386,205.90957108241827,stop
197.7401913210717,165.8813731182692,198.07202330421075,201.45991935134953,205.90382340967597,stop
196.46857811093548,164.80953594670703,196.8439876448647,199.35436279758648,203.20947553636458,stop
195.93052333958673,164.43170217231332,195.8725215803898,198.76397614137798,202.27272619943838,stop
196.17422441866842,164.80964188162724,196.25444103852197,199.07983320427985,202.56139623514557,stop
195.99599484020098,165.0559207308599,196.02398906550403,199.025374685625,202.53943239844014,stop
196.0509126822156,165.0943467854123,196.38270437495984,199.4577649145092,202.72845267933934,stop
195.16441558525017,163.3669341732336,194.7270296073501,196.50507871006496,199.13366936216607,stop
194.55610211350066,162.759796470589,194.04367411371052,195.53515384280587,197.60224808429194,stop
194.99082914627775,163.8389974062771,194.4509004523545,196.4700883497747,198.9266739383927,stop
194.9624154074463,163.35541654437245,194.55939288588667,196.18896045999676,198.53718181893507,stop
194.94646401598138,163.4065499021691,194.59959787917444,196.23519592776418,198.64049630435602,stop
194.9134559632082,163.83869178890032,194.75797874861013,195.86893359495915,198.07949989784976,stop
195.0286522612691,163.1763950353991,194.71096346887919,195.83156367258732,198.00331999746402,stop
194.30697534630133,162.69664418996848,194.11061275393476,195.92111241645742,198.76882857870552,stop
194.19560853453484,161.96293423017994,193.99528911308903,195.51044805145125,197.80188407975524,stop
194.4049188789628,163.0483755089672,194.4768955933218,196.00080397865162,198.34060704416567,stop
194.61320743843623,163.00517009117937,194.1832699999707,195.88724189183077,198.55079395866275,stop
194.734832047055,163.76084531901412,194.69611072393073,196.19001253574535,198.58554383470673,stop
195.1265507444866,164.49483071207217,195.00550742484867,196.47416580094742,198.70572013956252,stop
195.27184796358318,163.82855826397588,195.07929991033797,196.71476513448442,198.9019099071146,stop
194.4535751002648,164.08753167992862,194.0864139580144,195.90303145401535,198.27762209515447,stop
195.00564242268706,164.50839395643638,194.87599900776186,196.52362844254964,198.88841291011437,stop
194.78696850065276,164.2446355665662,194.5559366129081,196.24299946209925,198.90032499457146,stop
194.58795706470258,164.63591313811494,193.87696332469957,195.55992775729197,198.0580683726211,stop
194.63250247796375,164.359643094836,194.22363190333056,195.7380478890774,197.9589688384049,stop
194.74220941890061,164.31211275873858,194.55257035879362,195.9213503919936,197.81516183250196,stop
195.15419747905923,164.83541008411956,195.30825494628976,196.8959161951426,199.28822533552176,stop
195.69692167000855,164.89550264975006,195.36293034794437,197.06008111112874,199.9961485467268,stop
195.3594914665107,164.3776801568961,195.27222467165026,196.79694469918292,199.3456094605782,stop
194.8541164546858,163.79674736643236,194.52243372755797,196.31812500794405,198.83205558141927,stop
194.92705858559998,164.14190621067218,194.38161780648062,195.86610065830297,198.49281775516414,stop
194.5219277033085,164.80466776554792,193.8829616982107,195.49321120367404,197.77030654487461,stop
194.3404863161505,164.98093859558847,193.6425467173209,195.23530567461515,197.4319305951452,stop
194.70236806954966,164.06945597921163,194.41309106355345,195.95432974368242,198.13272582883397,stop
194.70190237474174,163.57136266254105,194.81346295844605,196.21857469243895,198.36795386462606,stop
194.48008624969694,163.05585782213703,194.38910650323442,195.863157413875,198.26038708564363,stop
194.56537005648175,163.56709390545353,194.26644379434296,195.6241255994993,197.9701771729723,stop
195.3381732271276,164.38480059879092,195.36430359482102,196.97638986450005,199.56771973313482,stop
195.33787470580634,164.47653477744737,195.36607681999809,197.13602776950066,199.82281546240284,stop
195.1354367599833,164.4697748736301,195.12838619870752,196.84570888244914,199.64512309358773,stop
195.16723901833842,164.43964134507056,195.24126109743864,196.97232197524656,199.86334492792272,stop
194.73115385534715,164.78977214523078,194.73190167680383,196.7775798018543,199.68046750244028,stop
194.74273182922286,164.5295392584892,194.78649885506152,196.67356464261792,199.52057002013638,stop
194.90364350904377,164.30421405236254,195.19337666441612,196.75577395621863,199.41155087231783,stop
194.72965685166258,164.2298037725822,194.5199867936265,196.2433316864407,198.88512222000756,stop
194.62140376536553,164.12241662548274,194.33705865866577,196.05698355348952,198.67527785713,stop
194.61528683475177,164.0482849834362,194.6886702667552,196.30597699861733,198.73823141765067,stop
194.70969277644147,164.1497526407632,194.80439047143184,196.4460282341546,198.9633868151781,stop
194.77180854566916,164.11205601729776,195.0503948075525,196.6497110050156,198.9798842290277,stop
194.1752954554783,164.2166272023275,194.47477987204704,196.17821544167194,198.9236891102958,stop
193.4828882362122,163.21372685014586,193.696351769808,195.25440445985882,197.850928626636,stop
193.80944440906603,163.76128322797692,194.19441569588605,195.89955022465696,198.1897316602821,stop
194.67064526899853,165.05884103860072,195.1139806458361,197.01747727993387,199.42468646244393,stop
194.73650733249983,165.1708384305746,194.88619251848758,196.37464988347278,198.99798124514516,stop
194.3140698421121,165.10201546219747,194.52818351158294,196.0827245014881,198.4990474470609,stop
194.01610193760087,164.47318681436076,194.0157741175398,195.67308779826487,198.21560629092858,stop
194.07579035871333,164.87753327566102,193.93272677852104,195.43138345026125,197.8868588933311,stop
194.51788223960935,165.51045774892404,194.18029420299118,195.83431277088926,198.7111381681726,stop
194.79560262763346,166.42793492141655,194.51257243767014,196.0178098668597,198.24640346532846,stop
195.17128066480993,166.96236951782922,194.99762121460063,196.8210207647616,199.50744465864105,stop
195.4143132136797,167.06822671422435,195.2381775876446,196.7843917189278,199.32735765219206,stop
195.60688272893447,167.32768192934256,195.42171943114084,196.73454285318763,199.25085877954072,stop
195.2532416902317,166.74288577515912,194.9848952438466,196.24397781017302,198.88827490398333,stop
195.36820823301628,167.07625924894094,195.41213678189766,197.44318476715915,200.18730937436652,stop
195.9253315513248,167.60125450712644,195.50386916199594,197.2643298383298,200.50316137786191,stop
196.14245967608107,167.51387673591643,195.81853095717102,197.24958290827462,199.58091910362995,stop
196.07441908318734,167.8154956275762,195.60151809956736,197.65940292295966,200.434268076294,stop
196.04020587687307,168.09820084161768,195.3415078088041,197.30029976111322,200.720168681416,stop
195.26737830915687,166.54953020398918,194.87489910631,196.54175346841274,198.78319299166714,stop
195.40912526556696,166.71711910211627,195.1414308311892,196.61400049897966,198.9220503042905,stop
195.61616708631274,167.24056759525698,195.5010287883121,197.11400588606625,199.84885807738652,stop
195.99068859322105,168.01759743901658,195.39090673749448,196.87964408189117,199.92500780713297,stop
195.98396318492385,167.86298232844285,195.5273822607587,196.5679870650117,198.9572010627047,stop
195.7399795763926,168.00177754757112,195.84721667700967,197.0785157070501,199.53378323920882,stop
195.71473069911903,167.34671025495032,195.47888730951564,196.8898989737846,199.7134636665508,stop
195.76491804984818,167.3148446193111,195.5823987507018,197.02984698547874,199.7958600872233,stop
195.752743504355,167.65290395137418,195.40086141780165,197.13034482443206,199.9568364422046,stop
195.2682390478178,167.59745478183953,195.03394783194037,196.79840467587516,199.74516747824157,stop
195.5990583281049,167.72047813522167,195.41747510046775,196.88273868710792,199.38947367692117,stop
195.60615593224207,167.9712700741919,195.39655388272578,196.91764641254213,199.3950937975633,stop
195.86184495016357,168.10203951559555,195.51711439637256,196.79974048661728,199.32009087240914,stop
195.8956685867502,168.13526738752816,195.59931336607457,196.7937688816624,199.4620693729109,stop
195.55645669330804,167.97410234558066,195.43970986736002,197.39964832277875,199.99296113712268,stop
195.56670741923506,168.02591531304017,195.1190389729826,197.04902083015804,199.93263590040505,stop
